32745	5	12702	0
32745	4	9820	0
32745	3	8786	0
32745	2	15272	0
32745	1	17987	1
32745	0	9341	1
32740	4	17435	0
32740	3	17844	1
32740	2	17556	1
32740	1	18086	0
32740	0	17915	0
32738	4	17442	0
32738	3	17883	0
32738	2	17435	0
32738	1	17844	1
32738	0	17556	1
32737	4	16295	0
32737	3	17666	1
32737	2	17965	1
32737	1	17883	0
32737	0	16106	0
32736	4	16295	1
32736	3	17883	0
32736	2	17965	1
32736	1	17666	0
32736	0	16106	0
32733	4	17666	0
32733	3	17965	1
32733	2	15951	0
32733	1	17570	1
32733	0	16295	0
32732	4	16295	0
32732	3	17570	0
32732	2	15951	1
32732	1	15272	0
32732	0	17666	1
32731	7	15951	1
32731	6	18091	0
32731	5	18083	0
32731	4	17974	1
32731	3	16920	1
32731	2	16434	0
32731	1	16295	0
32731	0	17666	0
32730	7	17974	0
32730	6	18091	0
32730	5	18085	1
32730	4	18083	1
32730	3	16434	0
32730	2	10461	0
32730	1	16920	1
32730	0	15951	0
32729	7	18085	0
32729	6	18083	0
32729	5	16434	0
32729	4	17974	0
32729	3	15951	1
32729	2	16920	1
32729	1	18091	1
32729	0	10461	0
32728	5	18083	0
32728	4	18085	0
32728	3	18091	1
32728	2	16920	0
32728	1	15951	0
32728	0	10210	1
32727	5	17666	0
32727	4	15951	1
32727	3	16920	0
32727	2	10210	0
32727	1	18085	1
32727	0	9820	0
32726	5	10210	0
32726	4	9820	1
32726	3	16973	0
32726	2	7133	0
32726	1	17666	0
32726	0	16295	1
32725	5	16892	1
32725	4	17666	0
32725	3	10210	0
32725	2	7133	1
32725	1	16973	0
32725	0	18089	0
32722	4	16973	1
32722	3	7133	0
32722	2	9820	0
32722	1	8153	1
32722	0	18085	0
32721	5	9820	0
32721	4	16973	0
32721	3	8153	1
32721	2	10210	1
32721	1	16920	0
32721	0	7133	0
32720	4	8153	0
32720	3	10210	1
32720	2	16973	1
32720	1	16920	0
32720	0	9820	0
32719	6	18084	0
32719	5	18021	1
32719	4	18036	0
32719	3	18025	0
32719	2	18028	0
32719	1	18022	1
32719	0	18024	1
32717	4	16920	0
32717	3	9820	1
32717	2	8153	0
32717	1	16973	0
32717	0	10210	1
32716	6	18084	0
32716	5	18028	1
32716	4	18025	0
32716	3	18021	1
32716	2	18024	0
32716	1	18022	1
32716	0	18036	0
32714	6	18022	0
32714	5	18028	1
32714	4	18021	0
32714	3	18024	0
32714	2	18084	1
32714	1	18036	0
32714	0	18025	1
32713	7	18028	1
32713	6	18030	1
32713	5	18024	0
32713	4	18036	0
32713	3	18022	0
32713	2	18025	0
32713	1	18084	0
32713	0	18021	1
32712	6	18084	0
32712	5	18028	0
32712	4	18022	0
32712	3	18025	1
32712	2	18024	1
32712	1	18030	0
32712	0	18021	1
32709	6	18024	0
32709	5	18025	0
32709	4	18028	0
32709	3	18021	1
32709	2	18022	1
32709	1	18084	1
32709	0	18030	0
32708	6	18021	1
32708	5	18022	0
32708	4	18084	0
32708	3	18024	0
32708	2	18025	0
32708	1	18028	1
32708	0	18030	1
32707	5	18030	0
32707	4	18021	0
32707	3	18025	0
32707	2	18022	0
32707	1	18028	1
32707	0	18024	1
32706	4	17968	1
32706	3	16920	1
32706	2	18083	0
32706	1	17844	0
32706	0	17566	0
32705	4	18083	0
